"Statut de l’établissement de la filière de formation (public, privé…)",Établissement,Région de l’établissement,Filière de formation,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale
Public,Université de Caen Normandie,Normandie,Licence - Portail Mathématiques,100.0
Public,Université de Caen Normandie,Normandie,Licence - Sciences du langage - Entièrement en distanciel,81.0
Public,Université de Caen Normandie,Normandie,"Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Etudes nordiques option : Islandais",75.0
Public,Université de Caen Normandie,Normandie,Licence - Portail Physique,98.0
Public,Université de Caen Normandie,Normandie,Licence - Portail Mathématiques,96.0
Public,Université de Caen Normandie,Normandie,Licence - Humanités - Parcours Humanités numériques,84.0
Public,Université de Caen Normandie,Normandie,Licence - Portail Physique,99.0
Public,Université de Caen Normandie,Normandie,Licence - Langues étrangères appliquées - Parcours Anglais/Russe,85.0
Public,Lycée Jules Verne,Normandie,BTS - Production - Electrotechnique,11.0
Public,Lycée Jules Verne,Normandie,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux",16.0
Public,IFSI CH Lisieux,Normandie,D.E Infirmier,56.0
Public,Lycée Salvador Allende,Normandie,CPGE - ECT - Option technologique,0.0
Privé sous contrat d'association,MFREO La Bagotière,Normandie,"BTS - Agricole - Développement, animation des territoires ruraux",31.0
Privé sous contrat d'association,Lycée Notre Dame De Nazareth,Normandie,Mise à niveau - Hôtellerie restauration,60.0
Public,Lycée Dumont d'Urville Laplace,Normandie,DN MADE - Espace - Spécialité : Conception d'espaces événementiels et scénographiques temporaires ou pérennes,30.0
Public,Lycée Dumont d'Urville Laplace,Normandie,BTS - Production - Développement et Réalisation Bois,21.0
Public,Lycée Dumont d'Urville Laplace,Normandie,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),18.0
Public,Lycée Dumont d'Urville Laplace,Normandie,BTS - Production - Travaux publics,39.0
Public,Lycée Dumont d'Urville Laplace,Normandie,BTS - Production - Management économique de la construction,32.0
Public,IUT GRAND OUEST NORMANDIE - Pôle de Caen - Site de Lisieux,Normandie,BUT - Techniques de commercialisation,66.0
Public,IUT GRAND OUEST NORMANDIE - Pôle de Caen - Site de Lisieux,Normandie,BUT - Science des données,92.0
Privé enseignement supérieur,Builders école d'ingénieurs,Normandie,Formation d'ingénieur Bac + 5 - Bac Série générale avec la spécialité Maths en Terminale + une spécialité non scientifique,100.0
Privé enseignement supérieur,Builders école d'ingénieurs,Normandie,"Formation Bac + 3 - Bachelors - Bacs séries générale, STI2D, STAV, STL, ST2S, bacs pros identifiés et Bac+1 (Statut d'apprenti sur tout ou partie des années, au-delà de la première)",80.0
Public,IUT GRAND OUEST NORMANDIE - Pôle de Caen - Site d'Ifs,Normandie,BUT - Informatique,62.0
Public,IUT GRAND OUEST NORMANDIE - Pôle de Caen - Site d'Ifs,Normandie,BUT - Information communication Parcours publicité,55.0
Privé hors contrat,Ligue de Judo de Normandie et CFA Caen,Normandie,BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme,0.0
Privé sous contrat d'association,Lycée de la Communication Saint Géraud,Auvergne-Rhône-Alpes,BTS - Services - Communication,51.0
Privé sous contrat d'association,Lycée de la Communication Saint Géraud,Auvergne-Rhône-Alpes,DN MADE - Numérique - Spécialité : Images numériques et narration,51.0
Privé sous contrat d'association,MFR de Saint-Flour,Auvergne-Rhône-Alpes,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole",26.0
Public,I.U.T Clermont Auvergne - site d'Aurillac,Auvergne-Rhône-Alpes,BUT - Gestion des entreprises et des administrations,68.0
Public,Lycée de Mauriac,Auvergne-Rhône-Alpes,BTS - Production - Métiers de l'eau,31.0
Public,Lycée d'Enseignement Général et Technologique Agricole Angouleme- L'Oisellerie,Nouvelle-Aquitaine,BTS - Agricole - Viticulture-Oenologie,45.0
Public,Lycée Elie Vinet,Nouvelle-Aquitaine,BTS - Services - Gestion de la PME,30.0
Public,Lycée Emile Roux,Nouvelle-Aquitaine,BTS - Services - Comptabilité et gestion,42.0
Privé sous contrat d'association,Lycée Sainte Marthe Chavagnes,Nouvelle-Aquitaine,BTS - Services - Négociation et digitalisation de la Relation Client,30.0
Privé sous contrat d'association,Lycée Saint Joseph L'Amandier,Nouvelle-Aquitaine,BTS - Services - Management en hôtellerie restauration,7.0
Public,Ecole européenne supérieure de l'image d'Angoulême,Nouvelle-Aquitaine,Diplôme National d'Art,89.0
Privé sous contrat d'association,Lycée Privé Polyvalent Roc Fleuri,Nouvelle-Aquitaine,"BTS - Agricole - Développement, animation des territoires ruraux",21.0
Public,I.U.T. Angoulême,Nouvelle-Aquitaine,"BUT - Techniques de commercialisation (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",45.0
Public,Université de Poitiers (Site d'Angoulême),Nouvelle-Aquitaine,Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours STAPS,93.0
Public,Université de Poitiers (Site d'Angoulême),Nouvelle-Aquitaine,DEUST - Métiers de la forme,64.0
Privé enseignement supérieur,CESI Campus d-Angoulême (La couronne),Nouvelle-Aquitaine,"Formation d'ingénieur Bac + 5 - Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués",93.0
Public,Lycée Leonce Vieljeux,Nouvelle-Aquitaine,CPGE - TSI,0.0
Public,Lycée agricole Georges Desclaude,Nouvelle-Aquitaine,BTS - Agricole - Gestion et maitrise de l'eau,33.0
Public,I.U.T. La Rochelle,Nouvelle-Aquitaine,BUT - Réseaux et télécommunications,66.0
Public,LYCEE DU CAMPUS DE L'ALIMENTATION ENILIA ENSMIC,Nouvelle-Aquitaine,"BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) produits laitiers",31.0
Public,Lycée des Métiers - Hotelier,Nouvelle-Aquitaine,BTS - Services - Tourisme,46.0
Public,Lycée des Métiers - Hotelier,Nouvelle-Aquitaine,Mention complémentaire - Sommellerie,13.0
Public,Lycée Saint-Exupery,Nouvelle-Aquitaine,BTS - Services - Négociation et digitalisation de la Relation Client,26.0
Privé enseignement supérieur,EXCELIA,Nouvelle-Aquitaine,Formation des écoles de commerce et de management Bac + 3 - BACHELOR BUSINESS,90.0
Privé enseignement supérieur,EXCELIA,Nouvelle-Aquitaine,Formation des écoles de commerce et de management Bac + 3 - Bachelor en management du tourisme et de l'hôtellerie,87.0
Public,Lycée de la mer et du littoral,Nouvelle-Aquitaine,BTS - Agricole - Gestion et protection de la nature,39.0
Public,Lycée professionnel maritime,Nouvelle-Aquitaine,BTS - Maritime - Pêche et gestion de l'environnement marin,0.0
Privé enseignement supérieur,EIGSI La Rochelle,Nouvelle-Aquitaine,"Formation Bac + 3 - Bachelors - Bacs séries générale, STI2D, STAV, STL, ST2S, bacs pros identifiés et Bac+1 (Statut d'apprenti sur tout ou partie des années, au-delà de la première)",0.0
Public,La Rochelle Université,Nouvelle-Aquitaine,"C.M.I - Cursus Master en Ingénierie - Physique, chimie - Durabilité des matériaux et des structures",99.0
Public,La Rochelle Université,Nouvelle-Aquitaine,Licence - Lettres,88.0
Public,La Rochelle Université,Nouvelle-Aquitaine,C.M.I - Cursus Master en Ingénierie - Sciences de la terre - Géosciences et géophysique du littoral,98.0
Public,La Rochelle Université,Nouvelle-Aquitaine,Licence - Mathématiques,96.0
Public,La Rochelle Université,Nouvelle-Aquitaine,C.M.I - Cursus Master en Ingénierie - Sciences pour la santé - Génie biotechnologique,99.0
Public,La Rochelle Université,Nouvelle-Aquitaine,Licence - Langues étrangères appliquées - Parcours Langues Etrangères Appliquées (LEA) : anglais - indonésien,88.0
Public,Lycée Jacques Coeur,Centre-Val de Loire,BTS - Services - Support à l'action managériale,12.0
Public,Lycée Henri Brisson,Centre-Val de Loire,BTS - Production - Industries céramiques,42.0
Privé sous contrat d'association,Lycée Sainte Marie Saint Dominique,Centre-Val de Loire,BTS - Services - Gestion de la PME,27.0
Privé sous contrat d'association,Lycée professionnel Saint Joseph,Centre-Val de Loire,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie,24.0
Public,I.U.T de Bourges,Centre-Val de Loire,"BUT - Gestion des entreprises et des administrations (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",53.0
Privé sous contrat d'association,IFSI Croix Rouge Française Bourges,Centre-Val de Loire,D.E Ergothérapeute,76.0
Privé sous contrat d'association,IFSI Croix Rouge Française Bourges,Centre-Val de Loire,D.E Infirmier,48.0
Public,Université d'Orléans - Collegium Droit - Antenne de Bourges,Centre-Val de Loire,Licence - Portail Droit - parcours Droit général,76.0
Public,Lycée Georges Cabanis,Nouvelle-Aquitaine,BTS - Production - Electrotechnique,11.0
Public,Lycée Georges Cabanis,Nouvelle-Aquitaine,CPGE - TSI,0.0
Public,Lycée d'Arsonval,Nouvelle-Aquitaine,Classe préparatoire aux études supérieures - Arts,89.0
Public,Lycée Simone Veil,Nouvelle-Aquitaine,BTS - Services - Service et prestation des secteurs sanitaire et social,13.0
Public,Lycée Simone Veil,Nouvelle-Aquitaine,BTS - Services - Management Commercial Opérationnel,23.0
Public,Lycée professionnel Marcel Barbanceys,Nouvelle-Aquitaine,BTS - Production - Techniques et services en matériels agricoles,11.0
Privé hors contrat,IBSAC (Ecole secondaire professionnelle privée),Nouvelle-Aquitaine,BTS - Services - Support à l'action managériale,19.0
Privé sous contrat d'association,Lycée Bahuet,Nouvelle-Aquitaine,BTS - Services - Assurance,39.0
Privé sous contrat d'association,Lycée Bahuet,Nouvelle-Aquitaine,BTS - Services - Gestion de la PME,18.0
Public,I.U.T du Limousin - site de Brive,Nouvelle-Aquitaine,BUT - Gestion des entreprises et des administrations,64.0
Public,I.U.T du Limousin - site de Tulle,Nouvelle-Aquitaine,BUT - Hygiène Sécurité Environnement,76.0
Public,Université de Limoges - Antenne de Brive,Nouvelle-Aquitaine,"DEUST - Animation et gestion des activités physiques, sportives ou culturelles",76.0
Public,Lycée Prieur de La Côte d'Or,Bourgogne-Franche-Comté,BTS - Services - Communication,58.0
Public,Lycée Carnot,Bourgogne-Franche-Comté,CPGE - ECG,100.0
Public,Lycée Carnot,Bourgogne-Franche-Comté,CPGE - ECG,100.0
Public,Lycée Montchapet,Bourgogne-Franche-Comté,BTS - Services - Banque conseiller de clientèle,38.0
Public,Lycée Hippolyte Fontaine,Bourgogne-Franche-Comté,BTS - Services - Prothésiste dentaire,2.0
Public,Lycée Gustave Eiffel,Bourgogne-Franche-Comté,BTS - Production - Maintenance des systèmes - option A Systèmes de production,16.0
Public,Lycée Gustave Eiffel,Bourgogne-Franche-Comté,CPGE - Prépa ENS - Rennes,100.0
Public,Lycée Gustave Eiffel,Bourgogne-Franche-Comté,CPGE - PTSI,100.0
Privé sous contrat d'association,Lycée saint bénigne,Bourgogne-Franche-Comté,BTS - Services - Gestion des transports et logistique associée,29.0
Privé sous contrat d'association,Lycée saint bénigne,Bourgogne-Franche-Comté,BTS - Services - Support à l'action managériale,15.0
Privé sous contrat d'association,Lycée saint bénigne,Bourgogne-Franche-Comté,BTS - Services - Management Commercial Opérationnel,27.0
Privé sous contrat d'association,Lycée saint bénigne,Bourgogne-Franche-Comté,BTS - Services - Services informatiques aux organisations,37.0
Privé sous contrat d'association,Lycée Les Arcades,Bourgogne-Franche-Comté,BTS - Services - Comptabilité et gestion,36.0
Public,Lycée agricole Dijon-Quetigny,Bourgogne-Franche-Comté,BTS - Agricole - Agronomie et cultures durables,47.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,"Licence - Portail Langues, littératures et civilisations étrangères et régionales - Métiers des langues - Espagnol",90.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Portail Chimie / Informatique / Mathématiques / Physique / Sciences pour l'Ingénieur (Electronique ou Mécanique),94.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Portail Droit,97.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Géographie et aménagement,87.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Parcours d'Accès Spécifique Santé (PASS),99.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Portail Psychologie,89.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Histoire de l'art et archéologie,84.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Portail Philosophie,86.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Parcours d'Accès Spécifique Santé (PASS),98.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Portail Sciences et Techniques des Activités Physiques et Sportives,91.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Economie,87.0
Public,Université de Bourgogne - site de Dijon,Bourgogne-Franche-Comté,Licence - Gestion,100.0
Public,Lycée professionnel Antoine,Bourgogne-Franche-Comté,BTS - Services - Management opérationnel de la sécurité,19.0
Public,CNAM Dijon,Bourgogne-Franche-Comté,Licence - Gestion - Parcours Commerce Vente et Marketing,89.0
Public,IFSI du CHU Dijon,Bourgogne-Franche-Comté,D.E Infirmier,72.0
Privé sous contrat d'association,Maison Familiale et Rurale de Quetigny,Bourgogne-Franche-Comté,"BTS - Agricole - Développement, animation des territoires ruraux",22.0
Privé enseignement supérieur,ESEO Dijon,Bourgogne-Franche-Comté,Formation d'ingénieur Bac + 5 - Bacs technologiques,0.0
Public,Lycée Felix Le Dantec,Bretagne,Mention complémentaire - Services numériques aux organisations,11.0
Public,Lycée Fulgence Bienvenue,Bretagne,BTS - Production - Maintenance des systèmes - option A Systèmes de production,9.0
Public,Lycée Francois Rabelais,Bretagne,BTS - Services - Services informatiques aux organisations,29.0
Public,Lycée Ernest Renan,Bretagne,CPGE - Lettres,100.0
Public,Lycée Chaptal,Bretagne,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",36.0
Public,Lycée Eugene Freyssinet,Bretagne,BTS - Production - Systèmes constructifs bois et habitat,28.0
Public,Lycée Eugene Freyssinet,Bretagne,BTS - Production - Management économique de la construction,22.0
Public,Lycée professionnel La Closerie,Bretagne,BTS - Services - Management en hôtellerie restauration,17.0
Public,Lycée Joseph Savina,Bretagne,BTS - Services - Banque conseiller de clientèle,25.0
Public,Lycée professionnel Jean Monnet,Bretagne,FCIL - CAO - DAO du bâtiment,12.0
Privé sous contrat d'association,Lycée-Collège NOTRE-DAME,Bretagne,BTS - Services - Support à l'action managériale,15.0
Privé sous contrat d'association,Lycée/Pôle supérieur Saint BRIEUC,Bretagne,BTS - Services - Gestion de la PME,16.0
Public,Lycée professionnel maritime Pierre Loti,Bretagne,Mise à niveau - Mise à niveau pour l'accès au BTS MASEN,36.0
Privé sous contrat d'association,Lycée agricole St ILAN,Bretagne,BTS - Agricole - Aménagements paysagers,24.0
Privé enseignement supérieur,Facultés libres de l'ouest - UCO - Bretagne Nord,Bretagne,Licence - Psychologie,73.0
Public,I.U.T de Saint-Brieuc,Bretagne,"BUT - Science et génie des matériaux (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",80.0
Public,I.U.T de Saint-Brieuc,Bretagne,"BUT - Techniques de commercialisation (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première)",51.0
Public,UFR Sciences Sociales - Université de Rennes 2 - Site de Saint-Brieuc,Bretagne,Licence - Administration économique et sociale - Parcours Antenne universitaire de la ville de Saint Brieuc - Administration Economique et  Sociale,76.0
Public,Université de Rennes (EPE) - Site de Saint-Brieuc,Bretagne,Licence - Droit - Parcours Droit (ST BRIEUC),85.0
Public,Institut national de l'éducation artistique et culturelle - Guingamp,Bretagne,Diplôme de spécialisation professionnelle - Agent d?accueil des publics de l?éducation artistique et culturelle,61.0
Public,Lycée professionnel Des Metiers Du Batiment,Nouvelle-Aquitaine,Mention complémentaire - Peinture décoration,31.0
